,,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,Grand Total
,,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Total,Air and Ground,Air and Ground,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Total,Total
Legal Town,Utility,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Subtotal,"Air Source Heat Pump, Ducted",Ground Source Heat Pump,"Air Source Heat Pump, Mini Split",VRF Heat Pump,Subtotal,Subtotal
Newtown,Eversource,2,,20,22,,,25,25,,,39,39,,1,40,41,8,2,68,,78,27,5,83,,115,75,18,55,,148,468
Norfolk,Eversource,,,,,,,1,1,,,1,1,,,,,,,7,,7,4,,4,,8,15,,11,,26,43
North Branford,UI,,,,,,,4,4,,,26,26,,,22,22,,,47,,47,3,,50,,53,57,,51,3,111,263
North Canaan,Eversource,,,,,,,,,,,1,1,,,,,,,5,,5,,,15,,15,4,2,1,,7,28
North Haven,UI,,,,,,,4,4,,,40,40,,,51,51,1,,73,,74,6,1,104,,111,76,,74,,150,430
North Stonington,Eversource,,,21,21,,,16,16,,,23,23,,1,26,27,,,46,,46,2,2,31,,35,15,4,26,,45,213
Norwalk,Eversource,,,19,19,,,51,51,,,63,63,3,,50,53,8,1,108,,117,58,1,100,,159,114,8,80,4,206,668
Old Lyme,Eversource,1,,36,37,,1,44,45,4,,50,54,7,1,52,60,5,2,92,,99,10,4,100,,114,72,1,79,,152,561
Old Saybrook,Eversource,1,,35,36,,,38,38,1,,58,59,1,,61,62,3,,109,,112,14,,108,,122,65,,76,2,143,572
Orange,UI,,,,,,,6,6,,,25,25,,,31,31,1,1,37,,39,11,3,51,,65,56,6,122,,184,350
Oxford,Eversource,,,8,8,,,9,9,,1,12,13,,,13,13,,,34,,34,10,2,49,,61,33,1,36,1,71,209
Plainfield,Eversource,1,,10,11,,,21,21,,,29,29,,,55,55,1,,37,,38,5,,53,,58,25,,49,0,74,286
Plainville,Eversource,2,,14,16,1,,13,14,,,14,14,1,,14,15,3,,30,,33,6,,44,,50,32,1,23,2,58,200
Plymouth,Eversource,,,6,6,,,12,12,,,12,12,,1,14,15,3,,24,,27,10,,33,,43,36,,48,,84,199
Pomfret,Eversource,,,11,11,,,13,13,,,9,9,,,30,30,,,27,,27,,1,30,,31,18,,14,,32,153
Portland,Eversource,,1,6,7,,,17,17,,,15,15,1,,18,19,5,1,41,,47,11,1,31,,43,30,2,29,,61,209
Preston,Eversource,,,7,7,,,11,11,,,10,10,,1,23,24,,1,24,,25,5,2,22,,29,19,,14,,33,139
Prospect,Eversource,,1,10,11,,,6,6,,,11,11,,,17,17,,2,20,,22,4,,29,,33,21,,21,10,52,152
Putnam,Eversource,,,8,8,,,14,14,,,4,4,,,16,16,,,33,,33,1,,30,,31,20,,26,,46,152
Redding,Eversource,,1,15,16,,,13,13,,,16,16,2,1,12,15,10,2,36,,48,28,4,46,,78,54,10,33,,97,283
